序号;片名;评分;导演;主演;一句话点评
155;釜山行;8.5;延尚昊;孔侑;揭露人性的丧尸题材力作。
156;头号玩家;8.7;史蒂文·斯皮尔伯格;泰伊·谢里丹;写给影迷，动漫迷和游戏迷的一封情书。
157;纵横四海;8.8;吴宇森;周润发;香港浪漫主义警匪动作片的巅峰之作。
158;疯狂原始人;8.7;科克·德·米科;;老少皆宜，这就是好莱坞动画的魅力。
159;三块广告牌;8.7;马丁·麦克唐纳;弗兰西斯·麦克多蒙德;怼天怼地，你走后，她与世界为敌。
160;心迷宫;8.7;忻钰坤;霍卫民;荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
161;哈利·波特与阿兹卡班的囚徒;8.7;Alfonso;丹尼尔·雷德克里夫;不一样的导演，不一样的哈利·波特。
162;达拉斯买家俱乐部;8.8;让-马克·瓦雷;马修·麦康纳;Jared Leto的腿比女人还美！
163;萤火虫之墓;8.7;高畑勋;辰己努;幸福是生生不息，却难以触及的远。 
164;荒蛮故事;8.8;达米安·斯兹弗隆;达里奥·葛兰帝内提;始于荒诞，止于更荒诞。
165;卢旺达饭店;8.9;特瑞·乔治;唐·钱德尔;当这个世界闭上双眼，他却敞开了怀抱。
166;真爱至上;8.6;理查德·柯蒂斯;休·格兰特;爱，是个动词。
167;贫民窟的百万富翁;8.6;丹尼·鲍尔;;上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
168;东邪西毒;8.6;王家卫;张国荣;电影诗。
169;你的名字。;8.4;新海诚;神木隆之介;穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
170;记忆碎片;8.6;克里斯托弗·诺兰;盖·皮尔斯;一个针管引发的血案。
171;花样年华;8.7;王家卫;梁朝伟;偷情本没有这样美。
172;爆裂鼓手;8.7;达米恩·查泽雷;迈尔斯·特勒;这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
173;黑天鹅;8.6;达伦·阿罗诺夫斯基;娜塔莉·波特曼;黑暗之美。
174;一个叫欧维的男人决定去死;8.8;汉内斯·赫尔姆;罗夫·拉斯加德;惠及一生的美丽。
175;忠犬八公物语;9.2;Seijirô;山本圭;养狗三日，便会对你终其一生。
176;黑客帝国3：矩阵革命;8.8;Andy;基努·里维斯;不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
177;模仿游戏;8.7;莫滕·泰杜姆;本尼迪克特·康伯巴奇;他给机器起名“克里斯托弗”，因为这是他初恋的名字。
178;哈利·波特与密室;8.6;Chris;丹尼尔·雷德克里夫;魔法的密室之门已打开...
179;头脑特工队;8.7;彼特·道格特;;愿我们都不用长大，每一座城堡都能永远存在。
180;你看起来好像很好吃;8.9;藤森雅也;山口胜平;感情不分食草或者食肉。
181;未麻的部屋;8.9;今敏;岩男润子;好的剧本是，就算你猜到了结局也猜不到全部。
182;雨人;8.7;巴瑞·莱文森;达斯汀·霍夫曼;生活在自己的世界里，也可以让周围的人显得可笑和渺小。
183;新世界;8.8;朴勋政;李政宰;要做就做得狠一点，这样才能活下去。
184;无敌破坏王;8.7;瑞奇·莫尔;约翰·C·赖利;迪士尼和皮克斯拿错剧本的产物。
185;海街日记;8.8;是枝裕和;绫濑遥;是枝裕和的家庭习作。
186;冰川时代;8.6;卡洛斯·沙尔丹哈;;松鼠才是角儿。
187;恋恋笔记本;8.5;尼克·卡索维茨;瑞恩·高斯林;爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
188;惊魂记;9.0;阿尔弗雷德·希区柯克;安东尼·博金斯;故事的反转与反转，分裂电影的始祖。
189;海边的曼彻斯特;8.6;肯尼斯·罗纳根;卡西·阿弗莱克;我们都有权利不与自己的过去和解。
190;二十二;8.7;郭柯;;有一些东西不应该被遗忘。
191;房间;8.8;伦尼·阿伯拉罕森;布丽·拉尔森;被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
192;恐怖游轮;8.5;克里斯托弗·史密斯;梅利莎·乔治;不要企图在重复中寻找已经失去的爱。
193;虎口脱险;8.9;杰拉尔·乌里;路易·德·菲耐斯;永远看不腻的喜剧。
194;魔女宅急便;8.6;宫崎骏;高山南;宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
195;奇迹男孩;8.6;斯蒂芬·卓博斯基;雅各布·特伦布莱;世界不完美，爱会有奇迹。
196;人工智能;8.6;史蒂文·斯皮尔伯格;海利·乔·奥斯蒙;对爱的执着，可以超越一切。
197;疯狂的石头;8.5;宁浩;郭涛;中国版《两杆大烟枪》。
198;雨中曲;9.0;斯坦利·多南;;骨灰级歌舞片。
199;绿里奇迹;8.8;Frank;汤姆·汉克斯;天使暂时离开。
200;小偷家族;8.7;是枝裕和;中川雅也;我们组成了家。
201;爱在午夜降临前;8.8;理查德·林克莱特;伊桑·霍克;所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
202;罗生门;8.8;黑泽明;三船敏郎;人生的N种可能性。
